zip_code,zip_type,ZCTA,borough,name,land_area_acres,population_count,people_per_acre,median_income,income_margin_of_error,percent_low_education,percent_vacant_units,percent_pre1950_units
10133,U,10023,Manhattan,10133,313.93,60998,194.3,105311,5150,3.7,17.8,55.2
10138,U,10016,Manhattan,10138,340.6,54183,159.08,101979,4073,2.9,15.4,31.3
10150,P,10022,Manhattan,10150,279.28,31924,114.31,106888,7306,1.3,23.3,38.0
10151,S,10022,Manhattan,10151,279.28,31924,114.31,106888,7306,1.3,23.3,38.0
10152,S,10152,Manhattan,10152,3.07,0,0,0,0,0.0,0.0,0.0
10153,S,10153,Manhattan,10153,3.03,0,0,0,0,0.0,0.0,0.0
10154,S,10154,Manhattan,10154,3.06,0,0,0,0,0.0,0.0,0.0
10155,S,10022,Manhattan,10155,279.28,31924,114.31,106888,7306,1.3,23.3,38.0
10156,P,10016,Manhattan,10156,340.6,54183,159.08,101979,4073,2.9,15.4,31.3
10157,U,10016,Manhattan,10157,340.6,54183,159.08,101979,4073,2.9,15.4,31.3
10158,S,10016,Manhattan,10158,340.6,54183,159.08,101979,4073,2.9,15.4,31.3
10159,P,10010,Manhattan,10159,250.03,31834,127.32,95556,9188,2.6,14.6,42.7
10160,U,10010,Manhattan,10160,250.03,31834,127.32,95556,9188,2.6,14.6,42.7
10161,S,10011,Manhattan,10161,421.38,50984,120.99,101515,2204,4.9,11.3,61.3
10162,S,10162,Manhattan,10162,7.28,1685,231.6,165917,81898,1.0,18.0,9.1
10163,P,10017,Manhattan,10163,204.89,16575,80.9,108250,6747,2.2,21.4,44.6
10164,U,10017,Manhattan,10164,204.89,16575,80.9,108250,6747,2.2,21.4,44.6
10165,S,10165,Manhattan,10165,3.23,2,0.62,0,0,0.0,0.0,0.0
10166,S,10017,Manhattan,10166,204.89,16575,80.9,108250,6747,2.2,21.4,44.6
10167,S,10167,Manhattan,10167,3.06,0,0,0,0,0.0,0.0,0.0
10168,S,10168,Manhattan,10168,3.26,0,0,0,0,0.0,0.0,0.0
10169,S,10169,Manhattan,10169,2.45,0,0,0,0,0.0,0.0,0.0
10170,S,10170,Manhattan,10170,6.16,2,0.32,0,0,0.0,0.0,0.0
10171,S,10171,Manhattan,10171,3.08,0,0,0,0,0.0,0.0,0.0
10172,S,10172,Manhattan,10172,3.07,0,0,0,0,0.0,0.0,0.0
10173,S,10173,Manhattan,10173,3.04,2,0.66,0,0,0.0,0.0,0.0
10174,S,10174,Manhattan,10174,3.27,0,0,0,0,0.0,0.0,0.0
10175,S,10017,Manhattan,10175,204.89,16575,80.9,108250,6747,2.2,21.4,44.6
10176,S,10036,Manhattan,10176,283.71,24711,87.1,64013,5276,6.3,15.5,39.4
