ZCTA,median_income,margin_of_error
13027,64525,2581
13028,42014,12064
13029,67721,7190
13030,50968,11488
13031,68103,3021
13032,53783,6534
13033,56250,4592
13034,59022,7287
13035,68464,8499
13036,54038,6298
13037,61128,3309
13039,77207,4740
13040,45500,4908
13041,76891,8118
13042,55100,11722
13044,52188,16688
13045,44840,2145
13051,,
13052,49784,3619
13053,57167,9729
13054,41136,11458
13057,54819,5186
13060,53214,5411
13061,72050,9906
13062,45898,31539
13063,77054,21619
13064,95833,211446
13066,82296,9218
13068,64044,7045
13069,43493,2712
13071,58500,9497
13072,41429,9407
13073,51929,3564
13074,48338,5671
13076,63598,16142
13077,55288,6266
13078,82536,11393
13080,64955,8210
13081,53859,5990
13082,48015,8429
13083,40852,5633
13084,65300,4785
13087,44375,43343
13088,53642,2102
13090,70564,2564
13092,66220,6427
13101,54700,5821
13102,44146,19569
13103,14276,16225
13104,89906,9176
13108,80795,11031
13110,65833,7441
13111,44597,6658
13112,72202,14618
13113,63125,17236
13114,51438,5810
13115,38542,24205
13116,55685,12169
13117,55893,10320
13118,57415,4335
13120,51319,10285
13122,43636,8054
13123,66250,53044
13124,44615,42541
13126,47145,2342
13131,50455,5009
13132,59981,10309
13134,40096,17894
13135,53413,5952
13136,38611,11128
13138,,
13140,45472,3774
13141,48409,7719
13142,46736,4614
13143,46512,6833
13144,44386,1960
13145,41250,13320
13146,43388,4102
13147,79942,8671
13148,49497,3729
13152,83234,5384
13153,98795,10031
13155,33875,6069
13156,44271,10910
13157,47546,12132
13158,50938,8469
13159,70167,3770
13160,59485,8858
13162,78580,6630
13163,60156,13186
13164,82986,22612
13165,49513,4413
13166,52309,5287
13167,54160,8355
13202,14578,2447
13203,27604,3331
13204,26271,1897
13205,31076,1982
13206,40102,3990
13207,39853,4642
13208,32141,2081
13209,50550,4283
13210,25346,3360
13211,43880,3917
13212,56175,3338
13214,56178,5034
13215,78523,6725
13219,58407,3162
13224,52067,3968
13290,,
13301,64583,113195
13302,46406,10200
13303,53625,22119
13304,75368,8059
13305,71250,23897
13308,49267,13710
13309,49886,5890
13310,83500,27999
13312,36696,18965
13313,37589,3626
13314,41806,5344
13315,58750,5258
13316,51552,3950
13317,52083,9320
13318,45882,14584
13319,43594,19155
13320,43125,8568
13321,55022,8243
13322,51800,8982
13323,62341,4248
13324,37679,5434
13325,50438,4008
13326,55699,6010
13327,43368,4500
13328,62083,12418
13329,42400,7446
13331,71750,111681
13332,44152,13510
13333,60972,17052
13334,44237,7615
13335,48966,6570
13337,42917,19120
13338,50417,5411
13339,41277,2396
13340,49873,4410
13341,26591,3211
13342,68375,19298
13343,42826,4709
13345,30446,8912
13346,59235,6380
13348,48542,13596
13350,35924,8054
13352,47143,23843
13353,33750,15636
13354,67647,10000
13355,38793,7193
13357,42858,3079
13360,58274,13379
13361,51429,7691
13362,117895,40794
13363,57014,14232
13364,29063,17303
13365,42837,4115
13367,46074,5263
13368,54231,8934
13402,60078,10987
13403,69787,12092
13404,52667,37737
13406,53889,6133
13407,45246,4194
13408,42644,9621
13409,51042,3340
13410,31250,27380
13411,44250,2116
13413,64146,6212
13415,68333,30584
13416,51111,11936
13417,34367,6677
13418,89375,83688
13420,63611,34643
13421,45445,3093
13424,62188,6220
13425,39567,6240
13428,50000,10492
13431,56619,7240
13433,30929,3124
13435,59107,16116
13436,60313,17577
13437,35781,12435
13438,56481,8595
13439,40792,6488
13440,50466,1828
13441,,
13450,32188,34594
13452,40694,3867
13454,36181,9991
13456,67955,8005
13459,44708,6557
13460,47547,5992
13461,59537,13265
13464,55500,5596
13468,44063,15063
13469,58485,10865
13470,41176,4110
13471,45529,7740
13472,56146,56805
13473,41771,23487
13475,63750,45875
13476,47986,19860
13477,49408,20563
13478,78182,7363
13480,50223,5048
13483,39500,30679
13484,67798,26680
13485,41583,6929
13486,46125,8718
13488,62321,15621
13489,50000,23695
13490,79231,35662
13491,50670,5493
13492,60292,6848
13493,48063,9040
13494,41111,13670
13495,46552,6499
13501,30581,1681
13502,39266,2714
13601,43420,1586
13602,58462,38988
13603,40621,3593
13605,47744,5436
13606,60063,10633
13607,37303,9570
13608,55833,5834
13612,52963,7156
13613,41131,14566
13614,30179,20008
13615,52313,17536
13616,35913,9416
13617,51039,5686
13618,64609,10704
13619,45632,2624
13620,50428,6919
13621,45962,11092
13622,52686,8892
13623,59875,34082
13624,49504,6826
13625,44350,6485
13626,59063,8290
13628,58929,18873
13630,49643,4204
13633,57344,5778
13634,59726,5531
13635,40625,13406
13636,63750,29479
13637,43393,4198
13638,32422,65116
13639,35625,27170
13640,69500,71061
13641,51250,31679
13642,42702,5295
13643,,
13646,43884,4372
13647,96000,2431
13648,43611,4843
13650,38846,10971
13651,90833,21622
13652,43621,4727
13654,46970,5874
13655,31686,13547
13656,54779,11131
13658,53333,6722
13659,46563,9297
13660,45882,5288
13661,41797,16213
13662,42011,2423
13664,65588,9402
13665,31250,14791
13666,26750,5898
13667,36500,13073
13668,42925,6689
13669,40869,3714
13670,41528,11386
13672,25556,15763
13673,49464,7700
13674,43750,53544
13675,,
13676,42853,4052
13677,57566,101918
13678,16026,26376
13679,52321,8353
13680,51719,14377
13681,42292,11238
13682,72250,13464
13684,43523,7122
13685,59583,13346
13687,43587,11663
13690,40673,5424
13691,50000,4745
13692,74258,1194
13693,50417,18644
13694,53007,3570
13695,39583,58277
13696,,
13697,38333,17771
13730,40812,2788
13731,39761,4728
13732,70924,3160
13733,47649,6039
13734,64750,9469
13736,53616,6085
13739,45313,7166
13740,41042,8836
13743,54944,5415
13744,65946,5124
13746,56346,14944
13748,50221,12010
13750,50685,17529
13751,38594,26729
13752,38403,13710
13753,47210,7082
13754,40995,3983
13755,45344,5139
13756,37708,13714
13757,49728,9299
13760,51016,2245
13774,70368,63615
13775,46494,6663
13776,53906,27930
13777,43750,13012
13778,51282,3760
13780,49355,18131
13782,37417,8910
13783,37593,5165
13784,24609,23413
13786,43750,24994
13787,45857,8882
13788,55043,9747
13790,40703,2769
13794,48750,38631
13795,51365,5182
13796,50875,6797
13797,48778,2761
13801,46842,6577
13802,60625,5750
13803,51961,3764
13804,53500,4042
13806,60227,21563
13807,50134,7432
13808,47057,3643
13809,42207,9138
13810,44167,12272
13811,50972,7031
13812,50227,8637
13813,48958,17687
13815,38750,3002
13820,40701,3221
13825,50691,10354
13826,,
13827,58715,7542
13830,52386,5367
13832,43226,4228
13833,50970,8055
13834,,
13835,50667,13691
13838,38162,7251
13839,51349,3617
13841,40313,19010
13842,51964,56902
13843,48947,9444
13844,51161,8867
13845,17094,59041
13846,75096,22028
13847,26250,28144
13849,42056,4091
13850,62986,3947
13856,35560,6067
13859,36591,82633
13860,115125,142858
13861,53692,12447
13862,49511,9919
13863,40417,15264
13864,61211,17308
13865,50320,3754
13901,39597,2723
13902,,
13903,44868,3537
13904,41546,3487
13905,33735,2694
14001,54925,6134
14004,59255,6564
14005,58493,5592
14006,55305,6149
14008,52917,20664
14009,47500,5205
14011,60519,3800
14012,45185,6056
14013,46818,10795
14020,43716,2411
14024,45938,6803
14025,66763,6703
14026,64214,27565
14028,52091,9547
14030,56042,10076
14031,66887,8214
14032,91290,6386
14033,78750,12377
14034,59000,10058
14035,43684,15845
14036,49694,8541
14037,66838,19851
14039,44375,51949
14040,66708,4787
14041,37222,20228
14042,36389,4689
14043,49819,2499
14047,66563,4961
14048,40121,3419
14051,103592,3877
14052,71084,5725
14054,57500,10962
14055,49946,7804
14057,61619,3815
14058,67232,8877
14059,73596,7191
14060,43235,7980
14061,51250,21108
14062,46685,4004
14063,47514,6856
14065,42829,7256
14066,46489,1938
14067,52868,8649
14068,70451,7244
14069,69313,12832
14070,47167,4594
14072,80180,6199
14075,63478,3725
14080,59306,7010
14081,51167,4723
14082,50313,45417
14085,84712,13233
14086,73024,5024
14091,51154,13641
14092,59613,4217
14094,50257,2215
14098,52933,4269
14101,53112,5679
14102,84063,10354
14103,43391,4869
14105,52161,4648
14108,54041,6951
14109,,
14111,53281,7711
14112,,
14113,60625,13279
14120,53118,2113
14125,48346,5905
14126,43147,24234
14127,77032,3700
14129,50900,4990
14130,49773,15390
14131,58311,7743
14132,58620,8536
14134,56429,31045
14135,41563,31612
14136,44597,7695
14138,47056,3864
14139,52736,4193
14141,49688,6459
14143,60250,18189
14145,62500,15642
14150,50844,2807
14167,56250,7427
14168,83125,58484
14169,31667,34555
14170,69712,21129
14171,48176,5786
14172,55063,7089
14173,21214,10600
14174,63431,4831
14201,19980,3753
14202,40046,8678
14203,18889,9657
14204,20888,1807
14206,34293,2540
14207,25593,2712
14208,26998,2893
14209,28414,3139
14210,32461,3983
14211,23090,1414
