Created Date,Incident Zip,Borough
06/13/2011 12:00:00 AM,11221,BROOKLYN
06/13/2011 12:00:00 AM,10025,MANHATTAN
06/13/2011 12:00:00 AM,10463,BRONX
06/13/2011 12:00:00 AM,10027,MANHATTAN
06/13/2011 12:00:00 AM,10025,MANHATTAN
06/13/2011 12:00:00 AM,11233,BROOKLYN
06/13/2011 12:00:00 AM,11222,BROOKLYN
06/13/2011 12:00:00 AM,11201,BROOKLYN
06/13/2011 12:00:00 AM,11233,BROOKLYN
06/13/2011 12:00:00 AM,11436,QUEENS
06/13/2011 12:00:00 AM,10025,MANHATTAN
06/13/2011 12:00:00 AM,10013,MANHATTAN
06/13/2011 12:00:00 AM,11205,BROOKLYN
06/13/2011 12:00:00 AM,10306,STATEN ISLAND
06/13/2011 12:00:00 AM,10466,BRONX
06/13/2011 12:00:00 AM,10035,MANHATTAN
06/13/2011 12:00:00 AM,10456,BRONX
06/13/2011 12:00:00 AM,10312,STATEN ISLAND
06/13/2011 12:00:00 AM,11234,BROOKLYN
06/13/2011 12:00:00 AM,10003,MANHATTAN
06/13/2011 12:00:00 AM,11358,QUEENS
06/13/2011 12:00:00 AM,11211,BROOKLYN
06/13/2011 12:00:00 AM,10474,BRONX
06/13/2011 12:00:00 AM,11233,BROOKLYN
06/13/2011 12:00:00 AM,10310,STATEN ISLAND
06/13/2011 12:00:00 AM,11237,BROOKLYN
06/13/2011 12:00:00 AM,11234,BROOKLYN
06/13/2011 12:00:00 AM,10463,BRONX
06/13/2011 12:00:00 AM,11238,BROOKLYN
06/13/2011 12:00:00 AM,10026,MANHATTAN
06/13/2011 12:00:00 AM,11233,BROOKLYN
06/13/2011 12:00:00 AM,10457,BRONX
06/13/2011 12:00:00 AM,10472,BRONX
06/13/2011 12:00:00 AM,10463,BRONX
06/13/2011 12:00:00 AM,11692,QUEENS
06/13/2011 12:00:00 AM,10314,STATEN ISLAND
06/13/2011 12:00:00 AM,11213,BROOKLYN
06/13/2011 12:00:00 AM,11367,QUEENS
06/13/2011 12:00:00 AM,10025,MANHATTAN
06/13/2011 12:00:00 AM,10472,BRONX
06/13/2011 12:00:00 AM,10475,BRONX
06/13/2011 12:00:00 AM,11233,BROOKLYN
06/13/2011 12:00:00 AM,11238,BROOKLYN
06/13/2011 12:00:00 AM,10128,MANHATTAN
06/13/2011 12:00:00 AM,10038,MANHATTAN
06/13/2011 12:00:00 AM,10002,MANHATTAN
06/13/2011 12:00:00 AM,10462,BRONX
06/13/2011 12:00:00 AM,11238,BROOKLYN
06/13/2011 12:00:00 AM,10011,MANHATTAN
06/13/2011 12:00:00 AM,11221,BROOKLYN
06/14/2011 12:00:00 AM,11225,BROOKLYN
06/14/2011 12:00:00 AM,11211,BROOKLYN
06/14/2011 12:00:00 AM,11213,BROOKLYN
06/14/2011 12:00:00 AM,10065,MANHATTAN
06/14/2011 12:00:00 AM,10032,MANHATTAN
06/14/2011 12:00:00 AM,11201,BROOKLYN
06/14/2011 12:00:00 AM,10456,BRONX
06/14/2011 12:00:00 AM,11203,BROOKLYN
06/14/2011 12:00:00 AM,11221,BROOKLYN
06/14/2011 12:00:00 AM,10026,MANHATTAN
06/14/2011 12:00:00 AM,11385,QUEENS
06/14/2011 12:00:00 AM,10039,MANHATTAN
06/14/2011 12:00:00 AM,11238,BROOKLYN
06/14/2011 12:00:00 AM,10027,MANHATTAN
06/14/2011 12:00:00 AM,11216,BROOKLYN
06/14/2011 12:00:00 AM,11201,BROOKLYN
06/14/2011 12:00:00 AM,11238,BROOKLYN
06/14/2011 12:00:00 AM,11216,BROOKLYN
06/14/2011 12:00:00 AM,11213,BROOKLYN
06/14/2011 12:00:00 AM,10463,BRONX
06/14/2011 12:00:00 AM,11219,BROOKLYN
