ZCTA,land_area_sq_meters,land_area_acres,water_area_sq_meters,water_area_acres,population_count,housing_unit_count,people_per_acre,housing_units_per_acre
14769,23612130,5834.79,5153,1.27,919,492,0.16,0.08
14770,76684751,18949.57,783022,193.49,2963,1342,0.16,0.07
14772,191303981,47273.13,774427,191.37,4255,1795,0.09,0.04
14774,461338,114.00,0,0.00,151,52,1.32,0.46
14775,139959428,34585.37,5652519,1396.79,2537,1306,0.07,0.04
14777,37177259,9186.87,2423457,598.86,667,706,0.07,0.08
14778,1076111,265.92,0,0.00,1453,2,5.46,0.01
14779,291889040,72128.70,3003534,742.20,6932,3503,0.10,0.05
14781,188068289,46473.55,223972,55.35,2225,989,0.05,0.02
14782,142328450,35170.78,60703,15.00,2401,1101,0.07,0.03
14783,64535004,15947.24,16640745,4112.09,320,197,0.02,0.01
14784,74978433,18527.92,839750,207.51,1033,546,0.06,0.03
14787,108797822,26885.03,10348448,2557.20,5121,2675,0.19,0.10
14788,545003,134.68,0,0.00,163,67,1.21,0.50
14801,281410630,69539.38,1049217,259.27,5475,2522,0.08,0.04
14802,2694190,665.76,0,0.00,4135,560,6.21,0.84
14803,64552064,15951.46,250965,62.02,1174,609,0.07,0.04
14804,144718714,35761.44,232123,57.36,1479,880,0.04,0.02
14805,71626806,17699.70,1550160,383.06,1100,527,0.06,0.03
14806,178016450,43989.64,459603,113.57,2269,1172,0.05,0.03
14807,175202573,43294.31,577235,142.64,3076,1477,0.07,0.03
14808,8726700,2156.45,0,0.00,591,267,0.27,0.12
14809,144350779,35670.52,331399,81.89,2552,1249,0.07,0.04
14810,312850512,77308.49,1065607,263.32,12356,5955,0.16,0.08
14812,200834973,49628.33,220128,54.40,3478,1460,0.07,0.03
14813,157509358,38922.14,420848,104.00,2520,1396,0.06,0.04
14814,22291331,5508.41,761146,188.09,1931,825,0.35,0.15
14815,44842487,11081.03,3471673,857.89,946,776,0.09,0.07
14816,9975059,2464.94,56624,13.99,520,207,0.21,0.08
14817,104360284,25788.47,252245,62.33,2380,1080,0.09,0.04
14818,96595946,23869.82,14142,3.49,1745,983,0.07,0.04
14819,106875746,26410.07,147322,36.40,733,401,0.03,0.02
14820,79614973,19673.66,66440,16.42,784,358,0.04,0.02
14821,140524424,34724.99,319963,79.07,3314,1394,0.10,0.04
14822,128106755,31656.46,474368,117.22,1169,722,0.04,0.02
14823,200848764,49631.74,44261,10.94,3754,1915,0.08,0.04
14824,58725429,14511.64,8629,2.13,678,301,0.05,0.02
14825,43694812,10797.42,10603,2.62,919,373,0.09,0.03
14826,157542122,38930.23,714354,176.52,2216,1163,0.06,0.03
14827,233078,57.60,0,0.00,191,82,3.32,1.42
14830,232758429,57516.94,2074917,512.73,19850,9160,0.35,0.16
14836,77612958,19178.94,131305,32.45,1009,558,0.05,0.03
14837,206377382,50997.91,3554920,878.46,5648,3084,0.11,0.06
14838,93327018,23062.04,527204,130.28,1956,832,0.08,0.04
14839,114089906,28192.76,10792,2.67,793,491,0.03,0.02
14840,152429898,37666.95,419118,103.57,3061,2944,0.08,0.08
14841,50774709,12546.94,0,0.00,915,655,0.07,0.05
14842,43333204,10708.07,17366,4.29,938,594,0.09,0.06
14843,260485531,64368.58,902828,223.10,13043,6231,0.20,0.10
14845,206759519,51092.34,1021186,252.35,20453,8939,0.40,0.17
14846,88472732,21862.50,626065,154.71,792,418,0.04,0.02
14847,100938474,24942.91,90954,22.48,2398,1278,0.10,0.05
14850,326231605,80615.09,2259973,558.46,63886,26467,0.79,0.33
14853,611084,151.00,37581,9.29,2755,0,18.24,0.00
14854,58950,14.57,0,0.00,37,15,2.54,1.03
14855,72538765,17925.05,84933,20.99,956,362,0.05,0.02
14856,976583,241.32,0,0.00,215,92,0.89,0.38
14858,93550806,23117.34,816438,201.75,1598,670,0.07,0.03
14859,80707317,19943.59,156987,38.79,1029,485,0.05,0.02
14860,54357512,13432.28,10449,2.58,1039,779,0.08,0.06
14861,88636457,21902.95,675470,166.92,1404,641,0.06,0.03
14864,32250895,7969.52,116718,28.84,1307,595,0.16,0.07
14865,51653512,12764.10,16170,4.00,2607,1232,0.20,0.10
14867,173709162,42925.27,368029,90.94,5569,2458,0.13,0.06
14869,52205360,12900.47,16711,4.13,1378,604,0.11,0.05
14870,158767759,39233.10,1425906,352.36,9821,4374,0.25,0.11
14871,148082519,36592.67,1293312,319.59,5456,1938,0.15,0.05
14872,16652444,4114.99,19076,4.71,605,283,0.15,0.07
14873,191366308,47288.53,363843,89.91,2448,1770,0.05,0.04
14874,5998235,1482.22,0,0.00,250,245,0.17,0.17
14877,109526203,27065.02,377875,93.38,401,341,0.01,0.01
14878,41541282,10265.27,0,0.00,781,430,0.08,0.04
14879,111681435,27597.60,933212,230.61,2398,1041,0.09,0.04
14880,142629247,35245.11,161288,39.86,1668,1028,0.05,0.03
14881,3182031,786.31,3378,0.83,192,111,0.24,0.14
14882,86054843,21265.01,256414,63.36,3826,1747,0.18,0.08
14883,186971270,46202.47,1300173,321.29,4136,1850,0.09,0.04
14884,49628133,12263.61,840161,207.61,273,320,0.02,0.03
14885,108874075,26903.87,0,0.00,873,419,0.03,0.02
14886,201011933,49672.06,582649,143.98,6753,3181,0.14,0.06
14889,116419386,28768.39,331489,81.91,1590,744,0.06,0.03
14891,135111962,33387.52,279469,69.06,4149,2070,0.12,0.06
14892,111048077,27441.09,1388972,343.23,8189,3609,0.30,0.13
14893,58702,14.51,0,0.00,6,27,0.41,1.86
14894,29204670,7216.77,71939,17.78,1454,612,0.20,0.08
14895,294154285,72688.47,777271,192.07,9616,4943,0.13,0.07
14897,66126387,16340.49,5524,1.37,980,439,0.06,0.03
14898,151206957,37364.75,73453,18.15,1734,747,0.05,0.02
14901,96791377,23918.12,2009354,496.53,16736,6617,0.70,0.28
14903,54026660,13350.53,862295,213.08,7567,3440,0.57,0.26
14904,14548782,3595.15,874836,216.18,16269,7324,4.53,2.04
14905,10790257,2666.38,470938,116.37,9070,4326,3.40,1.62
